Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Finland,6.5,11.59000015,16.20000076,16.43000031,17,15.56999969,14.97000027,13.21000004,11.68999958,11.13000011,10.28999996,10.42000008,10.47000027,10.35999966,8.380000114,7.71999979,6.849999905,6.369999886,8.25,8.390000343,7.78000021,7.690000057,8.18999958,8.659999847,9.380000114,8.819999695,8.68200016
Fiji,5.929999828,5.349999905,5.880000114,5.699999809,5.400000095,5.78000021,6.144000053,6.639999866,7.197999954,7.522999763,7.951000214,8.329999924,8.220000267,4.699999809,4.619999886,6.631000042,8.569999695,8.93999958,8.720000267,8.909999847,9.020000458,9,7.578999996,6.170000076,6.098999977,6.237999916,6.304999828
France,9.130000114,10.21000004,11.31999969,12.59000015,11.84000015,12.36999989,12.56999969,12.06999969,11.97999954,10.22000027,8.609999657,8.699999809,8.31000042,8.909999847,8.489999771,8.449999809,7.659999847,7.059999943,8.739999771,8.869999886,8.81000042,9.399999619,9.920000076,10.30000019,10.35999966,10.06000042,9.680999756
Gabon,17.65099907,17.74799919,17.78000069,17.73999977,17.6779995,17.61599922,17.53100014,17.44300079,17.34000015,17.21699905,17.1060009,16.98699951,16.85499954,16.71800041,16.90999985,17.63599968,18.36899948,19.08300018,19.79800034,20.38999939,20.33600044,20.30400085,20.24900055,20.20700073,20.15999985,19.81900024,19.62700081
United Kingdom,8.550000191,9.779999733,10.35000038,9.649999619,8.68999958,8.18999958,7.070000172,6.199999809,6.039999962,5.559999943,4.699999809,5.039999962,4.809999943,4.590000153,4.75,5.349999905,5.260000229,5.619999886,7.539999962,7.789999962,8.039999962,7.889999866,7.53000021,6.110000134,5.300000191,4.809999943,4.322000027
Georgia,9.743000031,9.022999763,9.208000183,9.840000153,12.22700024,14.2130003,14.44499969,14.55000019,13.80000019,10.81999969,11.15999985,12.59000015,11.51000023,12.61999989,13.81000042,13.57999992,13.27999973,16.46999931,16.84000015,16.29999924,15.06000042,15.03999996,14.56000042,12.35000038,11.96000004,11.76000023,11.54699993
Ghana,4.717999935,4.699999809,5.311999798,5.918000221,6.520999908,7.125999928,7.725999832,8.199999809,10.10000038,10.35999966,9.230999947,8.102000237,6.973999977,5.846000195,4.717000008,3.599999905,4.044000149,4.497000217,4.93200016,5.320000172,4.472000122,3.628999949,2.170000076,2.164000034,2.154000044,2.25999999,2.355000019
Guinea,4.514999866,4.520999908,4.526000023,4.53000021,4.528999805,4.535999775,4.540999889,4.545000076,4.545000076,4.546000004,4.548999786,4.550000191,4.565000057,4.563000202,4.559000015,4.561999798,4.544000149,4.551000118,4.561999798,4.545000076,4.537000179,4.532000065,4.534999847,4.531000137,4.52699995,4.510000229,4.485000134
"Gambia, The",9.102000237,9.163000107,9.161000252,9.159999847,9.192000389,9.225999832,9.263999939,9.32199955,9.359000206,9.383999825,9.392000198,9.376000404,9.401000023,9.402999878,9.380999565,9.385000229,9.392000198,9.399999619,9.406000137,9.411999702,9.392999649,9.420000076,9.421999931,9.427000046,9.420000076,9.43200016,9.449999809
Guinea-Bissau,6.388999939,6.400000095,6.418000221,6.434999943,6.445000172,6.473999977,6.500999928,6.486000061,6.535999775,6.520999908,6.514999866,6.493000031,6.482999802,6.471000195,6.453000069,6.429999828,6.40899992,6.382999897,6.354000092,6.328000069,6.315000057,6.267000198,6.25,6.217000008,6.196000099,6.144999981,6.099999905
Equatorial Guinea,5.739999771,5.752999783,5.72300005,5.708000183,5.696000099,5.738999844,5.787000179,5.771999836,5.77699995,5.790999889,5.81799984,5.796999931,5.788000107,5.794000149,5.749000072,5.732999802,5.712999821,5.684000015,5.636000156,5.580999851,5.570000172,5.551000118,5.522999763,5.494999886,5.459000111,6.193999767,6.914000034
Greece,7.659999847,7.840000153,8.609999657,8.859999657,9.06000042,9.659999847,9.579999924,10.84000015,11.85000038,11.25,10.46000004,9.970000267,9.409999847,10.31000042,9.989999771,9.010000229,8.399999619,7.760000229,9.619999886,12.71000004,17.86000061,24.44000053,27.46999931,26.48999977,24.89999962,23.54000092,21.40600014
Guatemala,3.200000048,2.963000059,2.859999895,2.694999933,2.502000093,2.387000084,2.177000046,1.988999963,1.899999976,1.419999957,1.299999952,3.130000114,3.400000095,3.130000114,2.463999987,1.820000052,2.5,2.802999973,3.099999905,3.74000001,4.130000114,2.869999886,3.319999933,2.910000086,2.700000048,2.829999924,2.734999895
Guam,3.519999981,3.839999914,5.519999981,7.599999905,7.900000095,8.279999733,9.670000076,7.739999771,13.94999981,15.31999969,13,11.39000034,9.336999893,7.699999809,7,7.400000095,8.300000191,8.88599968,9.300000191,8.199999809,13.30000019,12.19999981,11.5,7.599999905,6.900000095,5.400000095,5.410999775
Guyana,12.52999973,11.89999962,11.58899975,11.33600044,12.13399982,11.18700027,11.50899982,13.65999985,12.03600025,13.13000011,11.88099957,11.81000042,11.99300003,11.06999969,11.81299973,10.69999981,10.2840004,11.51399994,11.15400028,10.88099957,10.75399971,11.07600021,11.15799999,11.64900017,11.90600014,11.8579998,11.79199982
High income,6.870166332,7.400793408,7.866372,7.85355871,7.409485569,7.403272768,7.1505823,7.071338287,6.923951783,6.517940594,6.495053163,6.99607484,7.142053927,6.966126979,6.664218854,6.117083516,5.595599579,5.870884557,7.979244884,8.261276503,7.94202797,7.973082443,7.874310357,7.260081417,6.635946931,6.186944338,5.694676374
